Stage,Sentence
ED,I feel like I have to navigate life's challenges on my own because I can't count on anyone else to help me through them.
ED,"I desire someone to provide me with guidance and direction, but it seems like I'm always left to figure things out on my own."
EI,I constantly second-guess myself before speaking up in fear of saying the wrong thing.
EI,I bottle up my feelings so tightly that they often explode in unpredictable ways.
EI,I struggle to show vulnerability because I fear being judged as weak.
EI,I find it hard to express my true thoughts and feelings out of fear of rejection.
EI,I often hold back from taking risks because I fear failure.
EI,I have a hard time letting my guard down and showing my true self to others.
EI,I am constantly worried about making a mistake and being criticized for it.
EI,I keep my true feelings hidden behind a mask of neutrality to avoid conflict.
EI,I often feel like I have to hide my true self in order to fit in with others.
EI,I find it difficult to open up to others and share my innermost thoughts and feelings.
EI,I often bite my tongue to avoid saying something that might upset someone.
EI,I constantly second-guess myself before expressing my true feelings.
EI,I struggle to show vulnerability for fear of being judged or rejected.
EI,I find it difficult to let loose and be my authentic self around others.
EI,I have a hard time opening up about my struggles and innermost thoughts.
EI,I tend to bottle up my emotions rather than letting them out.
EI,I often feel like I have to put on a mask to hide my true emotions.
EI,I hesitate to take risks or try new things out of fear of failure or embarrassment.
EI,I have trouble standing up for myself and asserting my needs in relationships.
EI,I often feel like I'm holding back parts of myself to avoid being hurt or rejected by others.
EM,I feel like I am constantly suffocated by the expectations and emotions of those closest to me.
EM,"It's like I can't tell where I end and where they begin, we are so intertwined."
EM,I struggle to find my own sense of self in the midst of all the emotional chaos around me.
EM,"I crave independence and autonomy, but I feel guilty for wanting to separate myself from others."
EM,"I long to break free from the emotional chains that bind me to my family, but I fear the consequences."
EM,"I yearn for a sense of individuality, but I am afraid of losing the connection that defines me."
EM,"I feel like I am drowning in a sea of other people's emotions, unable to come up for air."
EM,"I am lost in the labyrinth of enmeshment, unable to find my way out to discover who I truly am."
EM,"I am trapped in a never-ending cycle of emotional fusion, unable to break free and stand on my own."
EM,"I am a shadow of myself, overshadowed by the strong personalities of those around me."
EM,"I feel like I am drowning in the emotions of those around me, losing sight of who I am."
EM,There are times when I can't differentiate where I end and where my loved ones begin.
EM,My sense of self feels like a fragile whisper drowned out by the overwhelming presence of others.
EM,"I yearn for independence, but the fear of losing the closeness with my family keeps me paralyzed."
EM,I am suffocating under the weight of expectations and obligations from those I care about.
EM,"I crave a sense of autonomy and individuality, but it feels like an impossible dream."
EM,I struggle to establish boundaries because the thought of disappointing others terrifies me.
EM,The line between my own desires and the desires of my family is blurred to the point of nonexistence.
EM,"I long to break free from the emotional chains that bind me to my loved ones, but the guilt holds me back."
EM,"I am lost in a sea of emotions, desperately trying to find my own voice amidst the chaos of others."
ET,I am destined for greatness and deserve to be treated like royalty.
ET,I am the best at everything I do and expect others to recognize my superiority.
ET,I should not have to follow the same rules as everyone else because I am above them.
ET,I am entitled to success and will stop at nothing to achieve my goals.
ET,I deserve to be showered with praise and admiration for my talents.
ET,I am not interested in being friends with anyone who cannot keep up with my level of intellect and success.
ET,I am the center of attention wherever I go because I am simply irresistible.
ET,I should always be the one in charge because I know what is best for everyone.
ET,I refuse to settle for anything less than perfection in all aspects of my life.
ET,"I am a rare gem in a sea of mediocrity, and I expect to be treated as such."
ET,I deserve to be treated like royalty because I am above everyone else.
ET,The rules don't apply to me because I am exceptional and beyond reproach.
ET,I should always come first because I am the most important person in the room.
ET,I am entitled to take whatever I want because I am superior to others.
ET,I am destined for greatness and everyone else should bow down to me.
ET,I deserve all the praise and recognition because I am the best at everything.
ET,I am above the petty concerns of ordinary people because I am extraordinary.
ET,I shouldn't have to wait in line like everyone else - my time is too valuable.
ET,I am always right because my opinions are more valuable than anyone else's.
ET,I am the ruler of my own kingdom and everyone else is just a subject to my whims.
FA,I never seem to measure up to others' standards no matter how hard I try.
FA,"I always feel like I fall short of everyone's expectations, including my own."
FA,I constantly feel like I'm just not good enough compared to my peers.
FA,"No matter how much effort I put in, I never seem to succeed like others do."
FA,I always feel like I'm the one who can never quite get it right.
FA,I'm starting to believe that I'm just not cut out for success like everyone else.
FA,I'm always the one left behind while everyone else moves ahead effortlessly.
FA,I feel like I'm always the one who just can't quite make the cut.
FA,"No matter how much I strive for excellence, I always seem to come up short."
FA,I constantly feel like I'm the one who just can't seem to get anything right.
FA,I never seem to measure up to others' expectations.
FA,"No matter how hard I try, I always fall short."
FA,I feel like I'm constantly letting everyone down.
FA,I can't shake the feeling that I'm not good enough.
FA,I always seem to mess things up no matter what I do.
FA,I'm convinced that I'll never succeed at anything.
FA,I'm just not cut out for success like others are.
FA,I can't help but compare myself to those who are doing better.
FA,I'm always the one who ends up failing in the end.
FA,"No matter how much I achieve, I still feel inadequate."
IS,I struggle to resist immediate temptations and often give in to my impulses.
IS,I find it hard to stick to a routine or plan for the long term.
IS,I can't seem to push through discomfort or challenges to reach my goals.
IS,I always choose the easy way out instead of putting in the effort required.
IS,I get frustrated easily when things don't go my way and give up too quickly.
IS,I avoid situations that may cause me discomfort or require self-discipline.
IS,I tend to procrastinate on important tasks and prioritize short-term gratification.
IS,"I feel powerless against my impulses and cravings, leading to poor decision-making."
IS,"I lack the willpower to make necessary changes in my life, even when I know they are for the best."
IS,"I feel like I'm constantly at war with myself, unable to resist my urges and desires."
IS,I struggle to resist temptation and give in easily to instant gratification.
IS,I find it hard to push through discomfort or challenges to reach my goals.
IS,I constantly seek distractions to avoid facing difficult tasks or responsibilities.
IS,I get overwhelmed by my impulses and have trouble delaying gratification.
IS,"I have a hard time sticking to a plan or schedule, always giving in to distractions."
IS,"I feel frustrated and defeated when things get tough, often giving up too easily."
IS,I tend to avoid situations that require self-discipline or effort.
IS,I feel anxious and stressed when I have to exert self-control over my impulses.
IS,I get sidetracked easily and have trouble staying focused on my goals.
IS,I struggle with delaying rewards and often choose immediate pleasure over long-term success.
MA,"I constantly feel like I am walking on eggshells, waiting for the inevitable moment when everything shatters."
MA,It's as if I am always the target of a never-ending game of emotional manipulation and deceit.
MA,"There's a lingering feeling that I am always the one left out in the cold, while others bask in the warmth of trust and security."
MA,"It's like I am stuck in a recurring nightmare where everyone around me is wearing masks, hiding their true intentions."
MA,I can't shake the feeling that I am always the one who ends up bearing the weight of others' dishonesty and betrayal.
MA,It's as if I am always the one left picking up the pieces of shattered promises and shattered trust.
MA,"There's a shadow of doubt that constantly looms over me, whispering that I am always the one who will be let down and disappointed."
MA,"It feels like I am always the one left holding an empty bag, while others walk away with all the rewards and benefits."
MA,"I have this nagging sensation that I am always the one who gets the short end of the stick, no matter how hard I try."
MA,"It's like I am swimming against a current of deceit and manipulation, always struggling to keep my head above water."
MA,"I always feel like I'm walking on eggshells, constantly waiting for the next betrayal."
MA,"It's like I'm stuck in a never-ending game of tug-of-war, always being pulled in the wrong direction."
MA,"The weight of disappointment always seems to find its way onto my shoulders, crushing me under its burden."
MA,"I can't help but feel like I'm constantly being left out in the cold, watching others bask in the warmth of trust and loyalty."
MA,"It's like I'm swimming against the current, struggling to keep my head above water while everyone else effortlessly floats by."
MA,"Every time I reach out for support, it feels like my hand is slapped away, leaving me to fend for myself in the darkness."
MA,"I'm tired of being the one who's always left holding the bag, carrying the weight of others' deceit and betrayal."
MA,"It's as if I'm always being handed a broken compass, leading me astray while others find their way with ease."
MA,"I feel like I'm stuck in a never-ending maze, constantly searching for the way out only to be met with dead ends and false promises."
MA,"No matter how hard I try to build bridges, it seems like they're always burned before I can even take a step forward."
NP,I can't help but dwell on all the things that could go wrong.
NP,"I always expect the worst outcome, it's just easier that way."
NP,"No matter how hard I try, I can't shake this feeling of impending doom."
NP,"I constantly replay past failures in my mind, convinced I'll never succeed."
NP,"I find it hard to trust anyone or anything, always anticipating betrayal."
NP,"I'm consumed by worry about what the future holds, unable to find peace."
NP,"I feel like a dark cloud follows me wherever I go, tainting everything."
NP,"It's exhausting to constantly brace myself for disappointment, but I can't stop."
NP,I convince myself that happiness is fleeting and only leads to pain in the end.
NP,"I sabotage myself before even trying, convinced I'll only fail anyway."
NP,"I always expect the worst to happen, it's hard to see any light in the darkness."
NP,"I constantly dwell on my failures and shortcomings, convinced that I am destined to fail."
NP,"Every setback feels like the end of the world, I struggle to see any hope for the future."
NP,"I am consumed by thoughts of everything that could go wrong, leaving me paralyzed with fear."
NP,"I find it difficult to trust others, always anticipating betrayal or disappointment."
NP,I can't shake the feeling that I am inherently flawed and unworthy of happiness.
NP,"I am stuck in a cycle of self-doubt and fear, unable to see any possibility for success."
NP,"I am convinced that no matter what I do, things will never get better."
NP,"I seem to attract negativity and chaos, unable to escape the darkness that surrounds me."
NP,"I feel like a magnet for bad luck, unable to see any silver lining in the storm clouds above."
PU,I believe that mistakes should not be tolerated and require severe consequences.
PU,"When someone messes up, I feel the urge to make them suffer for their actions."
PU,I find it difficult to forgive myself or others for any wrongdoings.
PU,I have little patience for people who make errors and often feel anger towards them.
PU,I have a strict code of conduct and expect others to follow it without exceptions.
PU,I feel a sense of satisfaction when I see someone facing the consequences of their mistakes.
PU,"I struggle to show compassion towards those who have made errors, as I believe they deserve to be punished."
PU,I have a tendency to be harsh and unforgiving towards myself when I make a mistake.
PU,"I believe in holding people accountable for their actions, no matter how small the mistake."
PU,I have a strong belief in the importance of discipline and retribution for wrongdoing.
PU,I believe that strict consequences are necessary to teach people a lesson.
PU,I find it hard to forgive myself for any mistakes I make.
PU,I often feel like others need to suffer for their wrongdoings.
PU,I have little patience for those who don't meet my high standards.
PU,I can't stand incompetence and always expect perfection.
PU,"I think people should be held accountable for their actions, no matter what."
PU,I struggle to show compassion towards those who make mistakes.
PU,I have a tendency to be harsh in my judgments of others.
PU,I believe in tough love and think it's the best way to discipline.
PU,I have a hard time letting go of grudges and moving on from past mistakes.
SB,I constantly put others' needs before my own to avoid conflict.
SB,I feel like I have to always agree with others to keep them happy.
SB,I find myself hiding my true feelings to prevent others from getting upset with me.
SB,I sacrifice my own happiness to maintain peace in my relationships.
SB,I fear expressing my desires because I worry about being rejected.
SB,I feel like I have to constantly seek approval from others to feel valued.
SB,I often ignore my own needs in order to please those around me.
SB,I struggle to assert myself because I'm afraid of being abandoned.
SB,I bottle up my emotions to avoid causing tension in my relationships.
SB,I feel like I have to tiptoe around others to prevent them from lashing out at me.
SB,I feel like I have to hide my true feelings to keep others happy.
SB,I often find myself apologizing for things that aren't my fault.
SB,I fear speaking up because I don't want to upset anyone.
SB,I sacrifice my own happiness to please those around me.
SB,I feel like I'm walking on eggshells to avoid triggering someone's anger.
SB,I struggle to assert myself because I worry about being abandoned.
SB,I suppress my emotions to prevent others from getting upset with me.
SB,I feel like I have to agree with others even if I don't truly feel that way.
SB,"I often feel like a doormat, constantly being walked over by others."
SB,I constantly put others' needs before my own to avoid conflict and keep the peace.
SI,"I feel like I'm on the outside looking in, always observing but never truly participating."
SI,"No matter how much I try to connect with others, I always feel like an outsider, like I don't belong."
SI,"I often find myself lost in a crowd, surrounded by people yet feeling utterly alone."
SI,"It's as if I'm invisible to those around me, like I don't even exist in their world."
SI,"I struggle to find common ground with others, always feeling like we speak different languages."
SI,"I yearn for a sense of belonging, but it always seems just out of reach, like a distant dream."
SI,"I feel like a puzzle piece that doesn't quite fit anywhere, constantly searching for my place."
SI,"Even in a room full of laughter and chatter, I can't shake the feeling of being disconnected from it all."
SI,"I'm like a solitary island in a vast sea of humanity, separate and isolated from the mainland."
SI,"It's like I'm living in a parallel universe, where everyone else belongs except for me."
SI,"I feel like I'm on the outside looking in, always observing but never truly belonging."
SI,"No matter how hard I try, I can't shake the feeling of being an outsider in every group I encounter."
SI,"It's like I'm standing in a crowded room, but the distance between me and everyone else feels impossibly vast."
SI,"I constantly question if I'm even capable of forming genuine connections with others, or if I'm destined to always be alone."
SI,"Every smile I see just reminds me of the emptiness I feel inside, like I'm missing out on something everyone else has."
SI,"I try to blend in, to be a part of the crowd, but I always end up feeling like an imposter in my own life."
SI,"I watch as friendships bloom around me, wondering if I'll ever find someone who truly understands me."
SI,"I feel like an outsider in my own skin, like I'm wearing a costume that doesn't quite fit."
SI,"Even in a sea of people, I can't shake the feeling of being completely alone, adrift in a world that doesn't see me."
SI,"I long for connection, for a sense of belonging, but it always feels just out of reach, like a mirage in the desert of my loneliness."
SS,"I constantly put others' needs before my own, even when I am running on empty."
SS,I feel guilty if I prioritize my own happiness over someone else's.
SS,"I find it difficult to say no, even when I am overwhelmed by my own responsibilities."
SS,I worry that expressing my own desires will hurt someone else's feelings.
SS,"I am always the one to make sacrifices for the sake of others, even if it means I am left with nothing."
SS,I struggle to set boundaries because I fear disappointing or upsetting those around me.
SS,"I feel a sense of duty to always put others first, even if it means neglecting my own well-being."
SS,I have a hard time taking care of myself because I am too focused on taking care of everyone else.
SS,I often suppress my own needs and desires in order to avoid conflict or tension in my relationships.
SS,I have a deep-seated belief that my own happiness is less important than the happiness of those I care about.
SS,"I always put others before myself, even if it means I go without."
SS,"I can't say no to anyone who needs my help, even if it exhausts me."
SS,I feel guilty when I prioritize my own happiness over someone else's.
SS,I would rather suffer in silence than burden others with my problems.
SS,I constantly worry about hurting someone's feelings if I assert my own needs.
SS,I find it hard to ask for help because I don't want to inconvenience anyone.
SS,I derive my sense of worth from how much I can do for others.
SS,I fear rejection if I don't meet the expectations others have for me.
SS,I believe my needs are less important than those of the people I care about.
SS,I struggle to set boundaries because I don't want to disappoint anyone.
US,"I constantly feel like I'm never good enough, no matter how hard I try."
US,"The pressure to be perfect is always weighing down on me, making it hard to breathe."
US,"Every mistake I make feels like a personal failure, amplifying my self-criticism."
US,I can't seem to escape the voice in my head constantly reminding me of my shortcomings.
US,Relaxing feels impossible when all I can think about are the things I haven't achieved.
US,I fear letting others down because I hold myself to impossibly high standards.
US,The thought of not meeting my own expectations terrifies me more than anything else.
US,I feel like I'm drowning in a sea of self-doubt and self-imposed criticism.
US,"I can't help but compare myself to others, always coming up short in my own eyes."
US,"The pressure to excel is suffocating, leaving me feeling like I'm never good enough."
US,"I constantly feel like I'm walking on eggshells, afraid of making even the smallest mistake."
US,"No matter how hard I try, I never feel good enough in my own eyes."
US,I can't help but feel like I'm always being watched and judged by an invisible audience.
US,"Every decision I make feels like it's under a microscope, waiting to be picked apart."
US,I feel like I'm drowning in a sea of expectations that I can never seem to meet.
US,"The pressure to be perfect weighs heavily on my shoulders, crushing me under its relentless grip."
US,I find it impossible to relax because my mind is always racing with thoughts of what I should be doing better.
US,I can never seem to shake the feeling that I'm constantly falling short of what I should be achieving.
US,"No matter how much I accomplish, it never feels like enough to silence the voice of self-doubt in my head."
US,"I live in a constant state of anxiety, always worried that I'm not measuring up to the impossibly high standards I've set for myself."
VH,"I constantly feel like a dark cloud is looming over me, ready to unleash a disaster at any moment."
VH,The thought of losing control and facing a catastrophe consumes my every waking moment.
VH,My heart races at the mere possibility of a sudden and devastating event striking me down.
VH,"I live in a perpetual state of dread, anticipating the worst and feeling powerless to stop it."
VH,The fear of an unseen danger lurking around the corner haunts my every thought.
VH,"Every little ache or pain sends me spiraling into a panic, convinced it's the beginning of a catastrophic event."
VH,"I can't shake the feeling of impending doom that shadows my every move, waiting to pounce on me."
VH,"The fear of something terrible happening is like a heavy weight crushing my chest, making it hard to breathe."
VH,"I'm constantly on edge, waiting for the next shoe to drop and my world to come crashing down."
VH,"The terror of the unknown future and what it may bring paralyzes me, leaving me unable to fully enjoy the present moment."
VH,I constantly live in fear of an impending disaster that will shatter my world.
VH,The thought of something terrible happening consumes my every waking moment.
VH,"I feel like I am walking on a tightrope, just waiting for it to snap at any moment."
VH,My mind is constantly plagued by the fear of losing control and spiraling into chaos.
VH,"The idea of a sudden, uncontrollable event terrifies me to my core."
VH,"I am always on edge, expecting the worst to happen at any given moment."
VH,"The fear of the unknown future keeps me up at night, unable to find peace."
VH,"I feel like a ticking time bomb, waiting for the inevitable explosion of disaster."
VH,I am haunted by the relentless belief that tragedy is just around the corner.
VH,"The weight of impending doom sits heavy on my chest, making it hard to breathe."
ED,"I haven’t had someone to nurture me, share him/herself with me, or care deeply about everything that happens to me."""
AB,I find myself clinging to people I’m close to because I’m afraid they’ll leave me
MA,I feel that people will take advantage of me.
DS,I don’t fit in.
DS,No man/woman I desire could love me once he or she saw my defects or flaws.
FA,Almost nothing I do at work (or school) is as good as other people can do.
DI,I do not feel capable of getting by on my own in everyday life.
VH,I can’t seem to escape the feeling that something bad is about to happen.
EM,"I have not been able to separate myself from my parent(s) the way other people my age seem to."""
IS,"I think that if I do what I want, I’m only asking for trouble."
SS,I’m the one who usually ends up taking care of the people I’m close to.
EI,"I am too self-conscious to show positive feelings to others (e.g., affection, showing I care)."
US,I must be the best at most of what I do; I can’t accept second best.
ET,"I have a lot of trouble accepting “no” for an answer when I want something from other people."""
IS,I can’t seem to discipline myself to complete most routine or boring tasks.
AS,Having money and knowing important people make me feel worthwhile.
NP,"Even when things seem to be going well, I feel that it is only temporary."
PU,"If I make a mistake, I deserve to be punished"
ED,"I don’t have people to give me warmth, holding, and affection."
AB,I need other people so much that I worry about losing them.
MA,"I feel that I cannot let my guard down in the presence of other people, or else they will intentionally hurt me."""
SI,I’m fundamentally different from other people.
DS,No one I desire would want to stay close to me if he or she knew the real me.
FA,I’m incompetent when it comes to achievement.
DI,I think of myself as a dependent person when it comes to everyday functioning.
VH,"I feel that a disaster (natural, criminal, financial, or medical) could strike at any moment."
EM,My parent(s) and I tend to be over-involved in each other’s lives and problems.
SB,"I feel as if I have no choice but to give in to other people’s wishes, or else they will retaliate, get angry, or reject me in some way"""
SS,I am a good person because I think of others more than myself.
EI,I find it embarrassing to express my feelings to others.
US,I try to do my best; I can’t settle for “good enough.”
ET,"I’m special and shouldn’t have to accept many of the restrictions or limitations placed on other people."""
IS,"If I can’t reach a goal, I become easily frustrated and give up."
AS,Accomplishments are most valuable to me if other people notice them.
NP,"If something good happens, I worry that something bad is likely to follow."
PU,"If I don't try my hardest, I should expect to lose out."
ED,I haven’t felt that I am special to someone.
AB,I worry that people I feel close to will leave me or abandon me.
MA,It is only a matter of time before someone betrays me.
SI,I don’t belong; I’m a loner.
DS,"I’m unworthy of the love, attention, and respect of others."
FA,Most other people are more capable than I am in areas of work and achievement.
DI,I lack common sense.
VH,I worry about being physically attacked by people
EM,It is very difficult for my parent(s) and me to keep intimate details from each other without feeling betrayed or guilty.
SB,"In relationships, I usually let the other person have the upper hand."
SS,I’m so busy doing things for the people that I care about that I have little time for myself.
EI,I find it hard to be free-spirited and spontaneous around other people.
US,I must meet all my responsibilities.
ET,I hate to be constrained or kept from doing what I want.
IS,I have a very difficult time sacrificing immediate gratification or pleasure to achieve a longrange goal.
AS,"Unless I get a lot of attention from others, I feel less important."
NP,You can’t be too careful; something will almost always go wrong.
PU,"If I don’t do the job right, I should suffer the consequences."
ED,"I have not had someone who really listens to me, understands me, or is tuned into my true needs and feelings."""
AB,"When someone I care for seems to be pulling away or withdrawing from me, I feel desperate."""
MA,I am quite suspicious of other people’s motives
SI,I feel alienated or cut off from other people.
DS,I feel that I’m not lovable.
FA,I’m not as talented as most people are at their work.
DI,My judgment cannot be counted on in everyday situations.
VH,I worry that I’ll lose all my money and become destitute or very poor.
EM,I often feel as if my parent(s) are living through me – that I don’t have a life of my own.
SB,"I’ve always let others make choices for me, so I really don’t know what I want for myself."
SS,I’ve always been the one who listens to everyone else’s problems.
EI,I control myself so much that many people think I am unemotional or unfeeling.
US,I feel that there is constant pressure for me to achieve and get things done.
ET,I feel that I shouldn’t have to follow the normal rules or conventions that other people do.
IS,"I can’t force myself to do things I don’t enjoy, even when I know it’s for my own good."
AS,"If I make remarks at a meeting, or am introduced in a social situation, it’s important for me to get recognition and admiration."""
NP,"No matter how hard I work, I worry that I could be wiped out financially and lose almost everything."""
PU,"It doesn’t matter why I make a mistake. When I do something wrong, I should pay the consequences."""
ED,"I haven’t had a strong or wise person to give me sound advice or direction when I’m not sure what to do."""
AB,Sometimes I am so worried about people leaving me that I drive them away
MA,I’m usually on the lookout for people’s ulterior or hidden motives.
SI,I always feel on the outside of groups.
DS,"I am too unacceptable in very basic ways to reveal myself to other people or to let them get to know me well."""
FA,I’m not as intelligent as most people when it comes to work (or school).
DI,I don’t feel confident about my ability to solve everyday problems that come up.
VH,"I worry that I’m developing a serious illness, even though nothing serious has been diagnosed by a doctor. """
EM,I often feel I do not have a separate identity from my parent(s) or partner.
SB,"I have a lot of trouble demanding that my rights be respected and that my feelings be taken into account."""
SS,Other people see me as doing too much for others and not enough for myself.
EI,People see me as uptight emotionally.
US,I can’t let myself off the hook easily or make excuses for my mistakes.
ET,I feel that what I have to offer is of greater value than the contributions of others.
IS,I have rarely been able to stick to my resolutions.
AS,Lots of praise and compliments make me feel like a worthwhile person.
NP,I worry that a wrong decision could lead to disaster.
PU,I’m a bad person who deserves to be punished.
