Stage,Sentence
DI,I feel that I need someone I can rely on to give me advice about practical issues.
DI,I feel more like a child than an adult when it comes to handling everyday responsibilities.
DI,I find the responsibilities of everyday life overwhelming.
VH,I can't seem to escape the feeling that something bad is about to happen.
VH,"""I feel that a disaster (natural, criminal, financial, or medical) could strike at any moment."""
VH,I worry about becoming a street person or vagrant.
VH,I worry about being attacked.
VH,I take great precautions to avoid getting sick or hurt.
VH,"""I worry that I'm developing a serious illness, even though nothing serious has been"""
VH,I am a fearful person.
VH,"""I worry a lot about the bad things happening in the world: crime, pollution, etc."""
VH,I often feel that I might go crazy.
VH,I often feel that I'm going to have an anxiety attack.
VH,"""I often worry that I might have a heart attack or cancer, even though there is little medical"""
VH,I feel that the world is a dangerous place.
EM,My parent(s) and I tend to be overinvolved in each other's lives and problems.
EM,"""It is very difficult for my parent(s) and me to keep intimate details from each other, without"""
EM,"""My parent(s) and I have to speak to each other almost every day, or else one of us feels"""
EM,I often feel that I do not have a separate identity from my parents or partner.
EM,I often feel as if my parent(s) are living through me -- I don't have a life of my own.
EM,It is very difficult for me to maintain any distance from the people I am intimate with	 I have
EM,I am so involved with my partner or parent(s) that I do not really know who I am or what I
EM,I have trouble separating my point of view or opinion from that of my parent(s) or partner.
EM,I often feel that I have no privacy when it comes to my parent(s) or partner.
EM,"""I feel that my parent(s) are, or would be, very hurt about my living on my own, away from"""
SB,"""I let other people have their way, because I fear the consequences."""
SB,"""I believe that if I do what I want, I'm only asking for trouble."""
SB,"""I feel that I have no choice but to give in to other peopleâ€™s wishes, or else they will retaliate"""
SB,"""In relationships, I let the other person have the upper hand."""
SB,"""I've always let others make choices for me, so I really don't know what I want for myself."""
SB,I feel the major decisions in my life were not really my own.
SB,"""I worry a lot about pleasing other people, so they won't reject me."""
SB,I have a lot of trouble demanding that my rights be respected and that my feelings be taken
SB,I get back at people in little ways instead of showing my anger directly.
SB,I will go to much greater lengths than most people to avoid confrontations.
SS,"""I put others' needs before my own, or else I feel guilty."""
SS,I feel guilty when I let other people down or disappoint them.
SS,I give more to other people than I get back in return.
SS,I'm the one who usually ends up taking care of the people I'm close to.
SS,There is almost nothing I couldn't put up with if I loved someone.
SS,I am a good person because I think of others more than of myself.
SS,"""At work, I'm usually the one to volunteer to do extra tasks or to put in extra time."""
SS,"""No matter how busy I am, I can always find time for others."""
SS,"""I can get by on very little, because my needs are minimal."""
SS,I'm only happy when those around me are happy.
SS,I'm so busy doing for the people that I care about that I have little time for myself.
SS,I've always been the one who listens to everyone else's problems.
SS,I'm more comfortable giving a present than receiving one.
SS,Other people see me as doing too much for others and not enough for myself.
SS,"""No matter how much I give, I feel it is never enough."""
SS,"""If I do what I want, I feel very uncomfortable."""
SS,It's very difficult for me to ask others to take care of my needs.
EI,I worry about losing control of my actions.
EI,"""I worry that I might seriously harm someone physically or emotionally, if my anger gets out"""
EI,"""I feel that I must control my emotions and impulses, or something bad is likely to happen."""
EI,A lot of anger and resentment build up inside of me that I don't express.
EI,"""I am too self-conscious to show positive feelings to others (e.g., affection, showing I care)."""
EI,I find it embarrassing to express my feelings to others.
EI,I find it hard to be warm and spontaneous.
EI,I control myself so much that people think I am unemotional.
EI,People see me as uptight emotionally.
US,I must be the best at most of what I do	 I can't accept second best.
US,I strive to keep almost everything in perfect order.
US,I must look my best most of the time.
US,"""I try to do my best	 I can't settle for """"good enough."""""""
US,I have so much to accomplish that there is almost no time to really relax.
US,Almost nothing I do is quite good enough	 I can always do better.
US,I must meet all my responsibilities.
US,I feel there is constant pressure for me to achieve and get things done.
US,My relationships suffer because I push myself so hard.
US,My health is suffering because I put myself under so much pressure to do well.
US,I often sacrifice pleasure and happiness to meet my own standards.
US,"""When I make a mistake, I deserve strong criticism."""
US,I can't let myself off the hook easily or make excuses for my mistakes.
US,I'm a very competitive person.
US,I put a good deal of emphasis on money or status.
US,"""I always have to be Number One, in terms of my performance."""
ET,"""I have a lot of trouble accepting """"no"""" for an answer when I want something from other"""
ET,I often get angry or irritable if I can't get what I want.
ET,I'm special and shouldn't have to accept many of the restrictions placed on other people.
ET,I hate to be constrained or kept from doing what I want.
ET,I feel that I shouldn't have to follow the normal rules and conventions other people do.
ET,I feel that what I have to offer is of greater value than the contributions of others.
ET,I usually put my needs ahead of the needs of others.
ET,I often find that I am so involved in my own priorities that I don't have time to give to friends
ET,People often tell me I am very controlling about the ways things are done.
ET,I get very irritated when people won't do what I ask of them.
ET,I can't tolerate other people telling me what to do.
IS,"""I have great difficulty getting myself to stop drinking, smoking, overeating, or other problem"""
IS,I can't seem to discipline myself to complete routine or boring tasks.
IS,Often I allow myself to carry through on impulses and express emotions that get me into
IS,"""If I can't reach a goal, I become easily frustrated and give up."""
IS,I have a very difficult time sacrificing immediate gratification to achieve a long-range goal.
IS,"""It often happens that, once I start to feel angry, I just can't control it."""
IS,"""I tend to overdo things, even though I know they are bad for me."""
IS,I get bored very easily.
IS,"""When tasks become difficult, I usually cannot persevere and complete them."""
IS,I can't concentrate on anything for too long.
IS,"""I can't force myself to do things I don't enjoy, even when I know it's for my own good."""
IS,I lose my temper at the slightest offense.
IS,I have rarely been able to stick to my resolutions.
IS,"""I can almost never hold back from showing people how I really feel, no matter what the cost"""
IS,I often do things impulsively that I later regret.
AS,It is important to me to be liked by almost everyone I know.
AS,"""I change myself depending on the people Iâ€™m with, so theyâ€™ll like me more."""
AS,I try hard to fit in.
AS,My self-esteem is based mostly on how other people view me.
AS,Having money and knowing important people make me feel worthwhile.
AS,I spend a lot of time on my physical appearance so people will value me.
AS,Accomplishments are most valuable to me if other people notice them.
AS,I am so focused on fitting in that sometimes I donâ€™t know who I am.
AS,"""I find it hard to set my own goals, without taking into account how others will respond to my"""
AS,"""When I look at my life decisions, I see that I made most of them with other peopleâ€™s"""
AS,"""Even if I donâ€™t like someone, I still want him or her to like me."""
AS,"""Unless I get a lot of attention from others, I feel less important."""
AS,"""If I make remarks at a meeting or am introduced at a gathering, I look forward to recognition"""
AS,Lots of praise and compliments make me feel like a worthwhile person.
NP,"""Even when things seem to be going well, I feel that it is only temporary."""
NP,"""If something good happens, I worry that something bad is likely to follow."""
NP,You canâ€™t be too careful	 something will almost always go wrong.
NP,"""No matter how hard I work, I worry that I could be wiped out financially."""
NP,I worry that a wrong decision could lead to disaster.
NP,"""I often obsess over minor decisions, because the consequences of making a mistake seem"""
NP,"""I feel better assuming that things will not work out for me, so that I donâ€™t feel disappointed"""
NP,I focus more on the negative aspects of life and of events than on the positive.
NP,I tend to be pessimistic.
NP,People close to me consider me a worrier.
NP,"""If people get too enthusiastic about something, I become uncomfortable and feel like"""
PU,"""If I make a mistake, I deserve to be punished."""
PU,"""If I donâ€™t try my hardest, I should expect to lose out."""
PU,There is no excuse if I make mistake.
PU,People who donâ€™t â€œpull their own weightâ€ should get punished in some way.
PU,"""Most of the time, I donâ€™t accept the excuses other people make. Theyâ€™re just not willing to"""
PU,"""If I donâ€™t do the job, I should suffer the consequences."""
PU,I often think about mistakes Iâ€™ve made and feel angry with myself.
PU,"""When people do something bad, I have trouble applying the phrase, â€œForgive and forgetâ€."""
PU,"""I hold grudges, even after someone has apologized."""
PU,I get upset when I think someone has been â€œlet off the hookâ€ too easily.
PU,"""I get angry when people make excuses for themselves, or blame other people for their"""
PU,"""It doesnâ€™t matter why I make a mistake	 when I do something wrong, I should pay the"""
PU,I â€œbeat upâ€ on myself a lot for things I screw up.
PU,Iâ€™m a bad person who deserves to be punished.
